0 727.0
1 901.0
2 1448.0
3 1699.0
4 1596.0
5 1535.0
6 1522.0
7 1529.0
8 1517.0
9 1534.0
10 1540.0
11 1535.0
12 1533.0
13 1534.0
14 1532.0
15 1536.0
16 1534.0
17 1534.0
18 1538.0
19 1540.0
20 1639.0
21 1633.0
22 1644.0
23 1649.0
24 1711.0
25 1790.0
26 1881.0
27 1958.0
28 2042.0
29 2125.0
30 2190.0
31 2242.0
32 2290.0
33 2327.0
34 2350.0
35 2346.0
36 2342.0
37 2298.0
38 2261.0
39 2190.0
40 2124.0
41 2041.0
42 1966.0
43 1880.0
44 1793.0
45 1722.0
46 1654.0
47 1598.0
48 1563.0
49 1594.0
50 1634.0
51 1704.0
52 1591.0
53 1574.0
54 1535.0
55 1536.0
56 1537.0
57 1532.0
58 1535.0
59 1534.0
60 1134.0
